Catalog Number,UCD ID,Product Name,Original Plate,Original Well,New Plate,New Well,MW,CAS Number,Target,Information,Pathway
S2842,UCD-0159378,SAR131675,L2000-03,D10,L2000-04,G02,358.39,1433953-83-3,VEGFR,"SAR131675 is a VEGFR3 inhibitor with IC50/Ki of 23 nM/12 nM in cell-free assays, about 50- and 10-fold more selective for VEGFR3 than VEGFR1/2, little activity against Akt1, CDKs, PLK1, EGFR, IGF-1R, c-Met, Flt2 etc.",Protein Tyrosine Kinase
S2871,UCD-0159386,T0070907,L2000-03,D11,L2000-04,G03,277.66,313516-66-4,PPAR,"T0070907 is a potent and selective PPARγ inhibitor with IC50 of 1 nM, with a >800-fold selectivity over PPARα and PPARδ.",DNA Damage
S2285,UCD-0159335,Cryptotanshinone,L2000-03,E02,L2000-04,G04,296.36,35825-57-1,STAT,"Cryptotanshinone (CPT) is a STAT3 inhibitor with IC50 of 4.6 μM, strongly inhibits phosphorylation of STAT3 Tyr705, with a small effect on STAT3 Ser727, but none against STAT1 nor STAT5.",JAK/STAT
S2593,UCD-0018448,Tolvaptan,L2000-03,E03,L2000-04,G05,448.94,150683-30-0,Vasopressin Receptor,"Tolvaptan is a selective, competitive arginine vasopressin receptor 2 antagonist with an IC50 of 1.28μM for the inhibition of AVP-induced platelet aggregation.",GPCR & G Protein
S2632,UCD-0159342,BMS-378806 ,L2000-03,E04,L2000-04,G06,406.43,357263-13-9 ,gp120/CD4,BMS-378806 selectively inhibits the binding of HIV-1 gp120 to the CD4 receptor with EC50 of 0.85-26.5 nM in virus.,Others
S2671,UCD-0001885,AS-252424,L2000-03,E05,L2000-04,G07,305.28,900515-16-4,PI3K,"AS-252424 is a novel, potent PI3Kγ inhibitor with IC50 of 30 nM with 30-fold selectivity for PI3Kγ than PI3Kα, and low inhibitory activity towards PI3Kδ/β.",PI3K/Akt/mTOR
S2711,UCD-0159352,Dibenzazepine (YO-01027),L2000-03,E06,L2000-04,G08,463.48,209984-56-5,Gamma-secretase,"YO-01027 (Dibenzazepine, DBZ) is a dipeptidic γ-secretase inhibitor with IC50 of 2.6 nM and 2.9 nM for APPL and Notch cleavage, respectively.",Proteases
S2748,UCD-0159358,Anacetrapib (MK-0859),L2000-03,E07,L2000-04,G09,637.51,875446-37-0,CETP,"Anacetrapib (MK0859) is a potent, selective, reversible rhCETP and mutant CETP(C13S) inhibitor with IC50 of 7.9 nM and 11.8 nM, increases HDL-C and decreases LDL-C, does not increase aldosterone or blood pressure. Phase 3.",Metabolism
S2790,UCD-0159364,Istradefylline,L2000-03,E08,L2000-04,G10,384.43,155270-99-8,Adenosine Receptor,Istradefylline is a selective adenosine A2A receptor (A2AR) antagonist with Ki of 2.2 nM.,Others
S2812,UCD-0159371,AT101,L2000-03,E09,L2000-04,G11,578.61,866541-93-7,Bcl-2,"AT101, the R-(-) enantiomer of Gossypol acetic acid, binds with Bcl-2, Bcl-xL and Mcl-1 with Ki of 0.32 μM, 0.48 μM and 0.18 μM; does not inhibit BIR3 domain and BID. Phase 1/2.",Apoptosis
DMSO,,DMSO,L2000-03,G01,L2000-05,B02,,,,,
S2843,UCD-0159379,BI-D1870,L2000-03,E10,L2000-05,B03,391.42,501437-28-1,S6 Kinase,"BI-D1870 is an ATP-competitive inhibitor of S6 ribosome for RSK1/2/3/4 with IC50 of 31 nM/24 nM/18 nM/15 nM, respectively; 10- to 100-fold selectivity for RSK than MST2, GSK-3β, MARK3, CK1 and Aurora B.",PI3K/Akt/mTOR
S2876,UCD-0159387,(+)-MK 801 maleate,L2000-03,E11,L2000-05,B04,337.37,77086-22-7,NMDAR,"(+)-MK-801 is a potent, selective and non-competitive NMDA receptor antagonist with Kd of 37.2 nM in rat brain membranes

",Neuronal Signaling
DMSO,,DMSO,L2000-03,H01,L2000-05,B05,,,,,
S2341,UCD-0159336,(-)-Parthenolide,L2000-03,F02,L2000-05,B06,248.32,20554-84-1,"HDAC,NF-κB,Mdm2,p53",(-)-Parthenolide is a sesquiterpene lactone which occurs naturally in the plant feverfew(Tanacetum parthenium) and also promotes the ubiquitination of MDM2 and activates p53 cellular functions.,Ubiquitin
S2601,UCD-0001419,Gliclazide ,L2000-03,F03,L2000-05,B07,323.41,21187-98-4,Potassium Channel,Gliclazide (Diamicron) is a whole-cell beta-cell ATP-sensitive potassium currents blocker with an IC50 of 184 ± 30 nM.,Transmembrane Transporters
DMSO,,DMSO,L2000-03,A12,L2000-05,B08,,,,,
S2633,UCD-0159343,NPS-2143,L2000-03,F04,L2000-05,B09,408.92,284035-33-2,CaSR,NPS 2143 is a novel potent and selective antagonist of Ca(2+) receptor with IC50 of 43 nM.,GPCR & G Protein
S2680,UCD-0001863,Ibrutinib (PCI-32765),L2000-03,F05,L2000-05,B10,440.50,936563-96-1,BTK,"Ibrutinib is a potent and highly selective Btk inhibitor with IC50 of 0.5 nM, modestly potent to Bmx, CSK, FGR, BRK, HCK, less potent to EGFR, Yes, ErbB2, JAK3, etc.",Angiogenesis
DMSO,,DMSO,L2000-03,B12,L2000-05,B11,,,,,
S2714,UCD-0159353,LY411575,L2000-03,F06,L2000-05,C02,479.48,209984-57-6,Gamma-secretase,"LY411575 is a potent γ-secretase inhibitor with IC50 of 0.078 nM/0.082 nM (membrane/cell-based), also inhibits Notch clevage with withIC50 of 0.39 nM.",Proteases
S2757,UCD-0159359,TH-302,L2000-03,F07,L2000-05,C03,449.04,918633-87-1,Others,"TH-302 is selective hypoxia-activated prodrug targeting <b>hypoxic</b> regions of solid tumors with <b>IC50</b> of 19 nM, demonstrates 270-fold enhanced cytotoxicity under hypoxia versus their potency under aerobic conditions, stable to cytochrome P450 metabolism. ",Others
S2791,UCD-0159365,Sotrastaurin,L2000-03,F08,L2000-05,C04,438.48,425637-18-9,PKC,"Sotrastaurin is a potent and selective pan-PKC inhibitor, mostly for PKCθ with Ki of 0.22 nM; inactive to PKCζ. Phase 1/2.",TGF-beta/Smad
S2816,UCD-0159372,Tyrphostin AG 879,L2000-03,F09,L2000-05,C05,316.46,148741-30-4,HER2,"Tyrphostin AG 879 potently inhibits HER2/ErbB2 with IC50 of 1 μM, 100- and 500-fold higher selective to ErbB2 than PDGFR and EGFR.",Protein Tyrosine Kinase
S2854,UCD-0159380,BML-190,L2000-03,F10,L2000-05,C06,426.89,2854-32-2,Cannabinoid Receptor,"BML-190 is a selective cannabinoid CB2 receptor inverse agonist with Ki of 435 nM, with 50-fold selectivity over CB1 receptor.",GPCR & G Protein
S2882,UCD-0159388,IKK-16 (IKK Inhibitor VII),L2000-03,F11,L2000-05,C07,483.63,873225-46-8,IκB/IKK,"IKK 16 is a selective IκB kinase (IKK) inhibitor for IKK-2, IKK complex and IKK-1 with IC50 of 40 nM, 70 nM and 200 nM, respectively.",NF-κB
S2437,UCD-0159337,Rotundine,L2000-03,G02,L2000-05,C08,355.43,483-14-7,Dopamine Receptor,"Rotundine (L-tetrahydropalmatine, L-THP) is a selective dopamine D1 receptor antagonist with IC50 of 166 nM.",Neuronal Signaling
S2603,UCD-0001391,Tioxolone,L2000-03,G03,L2000-05,C09,168.17,4991-65-5,Carbonic Anhydrase,Tioxolone is a metalloenzyme carbonic anhydrase I inhibitor with a Ki of 91 nM.,Metabolism
S2634,UCD-0001856,Rebastinib (DCC-2036),L2000-03,G04,L2000-05,C10,553.59,1020172-07-9,Bcr-Abl,"DCC-2036 is a conformational control Bcr-Abl inhibitor for Abl1(WT) and Abl1(T315I) with IC50 of 0.8 nM and 4 nM, also inhibits SRC, LYN, FGR, HCK, KDR, FLT3, and Tie-2, and low activity to seen towards c-Kit. Phase 1/2.",Angiogenesis
S2683,UCD-0159348,CHIR-124,L2000-03,G05,L2000-05,C11,419.91,405168-58-3,Chk,"CHIR-124 is a novel and potent Chk1 inhibitor with IC50 of 0.3 nM. It shows 2,000-fold selectivity against Chk2, 500- to 5,000-fold less activity against CDK2/4 and Cdc2.",Cell Cycle
S2717,UCD-0159354,CP-91149,L2000-03,G06,L2000-05,D02,399.87,186392-40-5,Phosphorylase,"CP-91149 is a selective glycogen phosphorylase (GP) inhibitor with IC50 of 0.13 μM in the presence of glucose, 5- to 10-fold less potent in the absence of glucose.",Metabolism
S2760,UCD-0000201,Canagliflozin,L2000-03,G07,L2000-05,D03,444.52,842133-18-0,SGLT,"Canagliflozin is a highly potent and selective SGLT2 inhibitor for hSGLT2 with IC50 of 2.2 nM, exhibits 413-fold selectivity over hSGLT1.",GPCR & G Protein
S2792,UCD-0159366,Torcetrapib,L2000-03,G08,L2000-05,D04,600.47,262352-17-0,CETP,"Torcetrapib is a CETP inhibitor with IC50 of 37 nM, elevates HDL-C and reduces nonHDL-C in plasma. Phase 3.",Metabolism
S2820,UCD-0159373,TAE226 (NVP-TAE226),L2000-03,G09,L2000-05,D05,468.94,761437-28-9,FAK,"NVP-TAE226 is a potent FAK inhibitor with IC50 of 5.5 nM and modestly potent to Pyk2, ~10- to 100-fold less potent against InsR, IGF-1R, ALK, and c-Met.",Angiogenesis
S2855,UCD-0159381,MRS 2578,L2000-03,G10,L2000-05,D06,472.67,711019-86-2,P2 Receptor,"MRS2578 is a potent P2Y6 receptor antagonist with IC50 of 37 nM, exhibits insignificant activity at P2Y1, P2Y2, P2Y4,and P2Y11 receptors.",Neuronal Signaling
S2890,UCD-0001864,PF-562271,L2000-03,G11,L2000-05,D07,507.49,717907-75-0,FAK,"PF-562271 is a potent, ATP-competitive, reversible inhibitor of FAK with IC50 of 1.5 nM, ~10-fold less potent for Pyk2 than FAK and >100-fold selectivity against other protein kinases, except for some CDKs.",Angiogenesis
S2454,UCD-0000737,Bupivacaine HCl ,L2000-03,H02,L2000-05,D08,324.89,18010-40-7,Sodium Channel,Bupivacaine hydrochloride(Marcain) is a more potent cAMP production inhibitor with an IC50 of 2.3 μM,GPCR & G Protein
S2625,UCD-0001870,Fostamatinib (R788),L2000-03,H03,L2000-05,D09,580.46,901119-35-5,Syk,"Fostamatinib (R788), a prodrug of the active metabolite R406, is a Syk inhibitor with IC50 of 41 nM, strongly inhibits Syk but not Lyn, 5-fold less potent to Flt3. Phase 2.",Angiogenesis
S2635,UCD-0001888,CCT128930,L2000-03,H04,L2000-05,D10,341.84,885499-61-6,Akt,"CCT128930 is a potent, ATP-competitive and selective inhibitor of Akt2 with IC50 of 6 nM, 28-fold greater selectivity for Akt2 than the closely related PKA kinase.",PI3K/Akt/mTOR
S2687,UCD-0159349,PF-2545920,L2000-03,H05,L2000-05,D11,392.45,1292799-56-4,PDE,"PF-2545920 is a potent and selective <b>PDE10A</b> inhibitor with <b>IC50</b> of 0.37 nM, with >1000-fold selectivity over the PDE. ",Metabolism
DMSO,,DMSO,L2000-03,C12,L2000-05,E02,,,,,
S2721,UCD-0001567,Nilvadipine,L2000-03,H06,L2000-05,E03,385.37,75530-68-6,Calcium Channel,Nilvadipine is a potent calcium channel blocker with an IC50 of 0.03 nM.,Transmembrane Transporters
S2772,UCD-0159360,"Dalcetrapib (JTT-705, RO4607381)",L2000-03,H07,L2000-05,E04,389.59,211513-37-0,CETP,Dalcetrapib (JTT-705) is a rhCETP inhibitor with IC50 of 0.2 μM that increases the plasma HDL cholesterol. Phase 3.,Metabolism
DMSO,,DMSO,L2000-03,D12,L2000-05,E05,,,,,
S2795,UCD-0159367,VU 0357121,L2000-03,H08,L2000-05,E06,305.32,433967-28-3,GluR,"VU0357121 is a novel positive allosteric modulator (PAM) of mGlu5 with EC50 of 33 nM, is inactive or very weakly antagonizing at other mGlu receptor subtypes.",Neuronal Signaling
S2822,UCD-0159374,OC000459,L2000-03,H09,L2000-05,E07,348.37,"851723-84-7, 950688-14-9 (sodium salt)",GPR,OC000459 is a potent and selective D prostanoid receptor 2 (DP2) antagonist with IC50 of 13 nM.,Endocrinology & Hormones
DMSO,,DMSO,L2000-03,E12,L2000-05,E08,,,,,
S2862,UCD-0159382,VU 0364770,L2000-03,H10,L2000-05,E09,232.67,61350-00-3,GluR,"VU 0364770 is a positive allosteric modulator(PAM) of mGlu4 with EC50 of 1.1 μM, exhibits insignificant activity at 68 other receptors, including other mGlu subtypes.",Neuronal Signaling
S2891,UCD-0159389,GW441756,L2000-03,H11,L2000-05,E10,275.3,504433-23-2,Trk receptor,"GW441756 is a potent, selective inhibitor of <b>TrkA</b> with <b>IC50</b> of 2 nM, with very little activity to c-Raf1 and CDK2.",Protein Tyrosine Kinase
DMSO,,DMSO,L2000-04,A01,L2000-05,E11,,,,,
S2894,UCD-0159390,SB742457,L2000-04,A02,L2000-05,F02,353.44,607742-69-8,5-HT Receptor,"SB742457 is a highly selective 5-HT6 receptor antagonist with pKi of 9.63, exhibits >100-fold selectivity over other receptors. Phase 2.",Neuronal Signaling
S2918,UCD-0022022,HC-030031,L2000-04,A03,L2000-05,F03,355.39,349085-38-7,Calcium Channel,HC-030031 is a selective TRPA1 channel blocker that antagonizes AITC- and formalin-evoked calcium influx with IC50 of 6.2 μM and 5.3 μM respectively.,Others
S3033,UCD-0018458,Vildagliptin (LAF-237),L2000-04,A04,L2000-05,F04,303.40,274901-16-5,DPP-4,Vildagliptin (LAF-237) inhibits DPP−4 with IC50 of 2.3 nM.,Proteases
S4053,UCD-0000899,Sertraline HCl,L2000-04,A05,L2000-05,F05,342.69,79559-97-0,5-HT Receptor,Sertraline HCl is a 5-HT antagonist with Ki of 13 nM.,Neuronal Signaling
S4261,UCD-0159408,EUK 134,L2000-04,A06,L2000-05,F06,416.74,81065-76-1,Beta Amyloid,"EUK 134, a synthetic superoxide dismutase (SOD)/catalase mimetic, exhibits potent antioxidant activities, and inhibits the formation of β-amyloid and related amyloid fibril.",Neuronal Signaling
S4651,UCD-0017582,Etoricoxib,L2000-04,A07,L2000-05,F07,358.84,202409-33-4,COX,"Etoricoxib is a new COX-2 selective inhibitor with anti-inflammatory, antipyretic, analgesic, and potential antineoplastic properties.",Neuronal Signaling
S4908,UCD-0159414,SN-38,L2000-04,A08,L2000-05,F08,392.40,86639-52-3,Topoisomerase,"SN-38 is an active metabolite of CPT-11, inhibits DNA topoisomerase I, DNA synthesis and causes frequent DNA single-strand breaks.",DNA Damage
S7015,UCD-0159422,Birinapant,L2000-04,A09,L2000-05,F09,806.94,1260251-31-7,IAP,"Birinapant is a SMAC mimetic antagonist, mostly to cIAP1 with Kd of <1 nM, less potent to XIAP. Phase 1/2.",Apoptosis
S7038,UCD-0159430,Epoxomicin,L2000-04,A10,L2000-05,F10,554.72,134381-21-8,Proteasome,"Epoxomicin is a selective proteasome inhibitor with anti-inflammatory activity, inhibits primarily the CH-L activity of the 20S proteasome, while T-L and PGPH catalytic activities are also inhibited at 100- and 1000-fold reduced rate.",Proteases
S7083,UCD-0159435,Ceritinib (LDK378),L2000-04,A11,L2000-05,F11,558.14,1032900-25-6,ALK,"LDK378 is potent inhibitor against ALK with IC50 of 0.2 nM, shows 40- and 35-fold selectivity against IGF-1R and InsR, respectively. Phase 2.",Protein Tyrosine Kinase
S2897,UCD-0159391,ZM 306416,L2000-04,B02,L2000-05,G02,333.74,690206-97-4,VEGFR,"ZM 306416 is a VEGFR (Flt and KDR) inhibitor for VEGFR1 with IC50 of 0.33 μM, but also found to inhibit EGFR with IC50 of <10 nM.",Protein Tyrosine Kinase
S2922,UCD-0159398,Icotinib,L2000-04,B03,L2000-05,G03,391.42,610798-31-7,EGFR,"Icotinib is a potent and specific EGFR inhibitor with IC50 of 5 nM, including the EGFR, EGFR(L858R), EGFR(L861Q), EGFR(T790M) and EGFR(T790M, L858R). Phase 4.",Protein Tyrosine Kinase
S3034,UCD-0159402,Sitaxentan sodium,L2000-04,B04,L2000-05,G04,476.89,210421-74-2,Endothelin Receptor,"Sitaxentan sodium is a selective endothelin A receptor (ETA) antagonist with IC50 and Ki of 1.4 nM and 0.43 nM, respectively, exhibits 7000-fold selectivity over ETB. Phase 3.",GPCR & G Protein
S4073,UCD-0159407,Sodium 4-Aminosalicylate,L2000-04,B05,L2000-05,G05,211.15,133-10-8,NF-κB,Sodium 4-Aminosalicylate is an antibiotic used to treat tuberculosis via NF-κB inhibition and free radical scavenging.,NF-κB
S4285,UCD-0011462,Ospemifene,L2000-04,B06,L2000-05,G06,378.89,128607-22-7,Estrogen/progestogen Receptor,"Ospemifene is a non-hormonal selective estrogen receptor modulator (SERM), used for the treatment of dyspareunia. 
",Endocrinology & Hormones
S4656,UCD-0159410,Parecoxib,L2000-04,B07,L2000-05,G07,370.42,198470-84-7,COX,Parecoxib is a selective COX2 inhibitor.,Neuronal Signaling
S4921,UCD-0159415,"MNS (3,4-Methylenedioxy-β-nitrostyrene, MDBN)",L2000-04,B08,L2000-05,G08,193.16,1485-00-3,"Tyrosinase,p97,Syk,Src","MNS is a tyrosine kinases inhibitor, inhibits Syk, Src, p97 with IC50 of 2.5 μM, 29.3 μM and 1.7 μM, respectively.",Ubiquitin
S7016,UCD-0159423,VS-5584 (SB2343),L2000-04,B09,L2000-05,G09,354.41,1246560-33-7,PI3K,"VS-5584 (SB2343) is a potent and selective dual PI3K/mTOR inhibitor for mTOR, PI3Kα/β/δ/γ with IC50 of 3.4 nM and 2.6-21 nM, respectively. Phase 1.",PI3K/Akt/mTOR
S7050,UCD-0159431,AZ20,L2000-04,B10,L2000-05,G10,412.51,1233339-22-4,ATM/ATR,"AZ20 is a novel potent and selective inhibitor of ATR kinase with IC50 of 5 nM, 8-fold selectivity over mTOR.",PI3K/Akt/mTOR
S7092,UCD-0159436,SANT-1,L2000-04,B11,L2000-05,G11,373.49,304909-07-7,Hedgehog/Smoothened,SANT-1 directly binds to Smoothened (Smo) receptor with Kd of 1.2 nM and inhibits Smo agonist effects with IC50 of 20 nM.,Stem Cells &  Wnt
DMSO,,DMSO,L2000-04,B01,L2000-06,B02,,,,,
S2899,UCD-0159392,GNF-2,L2000-04,C02,L2000-06,B03,374.32,778270-11-4,Bcr-Abl,"GNF-2 is a highly selective non-ATP competitive inhibitor of Bcr-Abl, shows no activity to Flt3-ITD, Tel-PDGFR, TPR-MET and Tel-JAK1 transformed tumor cells.",Angiogenesis
S2927,UCD-0159399,Apoptosis Activator 2,L2000-04,C03,L2000-06,B04,306.14,79183-19-0,Caspase,"Apoptosis Activator 2 strongly induces caspase-3 activation, PARP cleavage, and DNA fragmentation which leads to the destruction of cells (Apaf-1 dependent) with IC50 of ~4 μM, inactive to HMEC, PREC, or MCF-10A cells.",Apoptosis
DMSO,,DMSO,L2000-04,C01,L2000-06,B05,,,,,
S3051,UCD-0159403,Bosentan Hydrate,L2000-04,C04,L2000-06,B06,569.63,157212-55-0,Endothelin Receptor,"Bosentan is an endothelin (ET) receptors antagonist for ET-A and ET-B with Ki of 4.7 nM and 95 nM, respectively. ",GPCR & G Protein
S4076,UCD-0000904,Propranolol HCl,L2000-04,C05,L2000-06,B07,295.80,318-98-9,Adrenergic Receptor,Propranolol HCl is a competitive non-selective beta-adrenergic receptors inhibitor with IC50 of 12 nM.,GPCR & G Protein
DMSO,,DMSO,L2000-04,D01,L2000-06,B08,,,,,
S4289,UCD-0000243,Metoclopramide HCl,L2000-04,C06,L2000-06,B09,336.26,7232-21-5,Dopamine Receptor,"MetoclopraMide HCl is a selective dopamine D2 receptor antagonist, used for the treatment of nausea and vomiting.
",Neuronal Signaling
S4661,UCD-0159411B,Tiagabine hydrochloride,L2000-04,C07,L2000-06,B10,412.01,145821-59-6,GABA Receptor,"Tiagabine Hydrochloride is the hydrochloride salt form of tiagabine, a nipecotic acid derivative with anticonvulsant property. A selective gamma-aminobutyric acid (GABA) reuptake inhibitor.",Neuronal Signaling
DMSO,,DMSO,L2000-04,E01,L2000-06,B11,,,,,
S4926,UCD-0159416,(R)-Nepicastat HCl,L2000-04,C08,L2000-06,C02,331.81,195881-94-8,Hydroxylase,"(R)-Nepicastat HCl, the R-enantiomer of Nepicastat HCl, is a potent and selective inhibitor with IC50 of 25.1 nM and 18.3 nM for bovine and human dopamine-β-hydroxylase, with negligible affinity for twelve other enzymes and thirteen neurotransmitter receptors.",Metabolism
S7024,UCD-0159424,Stattic,L2000-04,C09,L2000-06,C03,211.19,19983-44-9,STAT,"Stattic, the first nonpeptidic small molecule, potently inhibits STAT3 activation and nuclear translocation with IC50 of 5.1 μM, highly selectivity over STAT1.",JAK/STAT
S7051,UCD-0159432,CGI1746,L2000-04,C10,L2000-06,C04,579.69,910232-84-7,BTK,CGI1746 is a potent and highly selective small-molecule inhibitor of the Btk with IC50 of 1.9 nM.,Angiogenesis
S7093,UCD-0159437,IPA-3,L2000-04,C11,L2000-06,C05,350.45,42521-82-4,PAK,"IPA-3 is a selective non-ATP competitive Pak1 inhibitor with IC50 of 2.5 μM, no inhibition to group II PAKs (PAKs 4-6).",Cytoskeletal Signaling
S2906,UCD-0159393,Ki16198,L2000-04,D02,L2000-06,C06,488.98,355025-13-7,LPA Receptor,"Ki16198 is the methyl ester of Ki16425, which is a LPA antagonist and inhibits LPA1- and LPA3-induced inositol phosphate production with Ki of 0.34 μM and 0.93 μM, respectively, shows weaker inhibition for LPA2, no activity at LPA4, LPA5, LPA6.",GPCR & G Protein
S2930,UCD-0159400,Pifithrin-μ,L2000-04,D03,L2000-06,C07,181.21,64984-31-2,p53,"Pifithrin-μ is a specific p53 inhibitor by reducing its affinity to Bcl-xL and Bcl-2, and also inhibits HSP70 function and autophagy.",Apoptosis
S3147,UCD-0001059,Entacapone,L2000-04,D04,L2000-06,C08,305.29,130929-57-6,Histone Methyltransferase,Entacapone inhibits catechol-O-methyltransferase(COMT) with IC50 of 151 nM.,Epigenetics
S4079,UCD-0011606,Ticagrelor,L2000-04,D05,L2000-06,C09,522.57,274693-27-5,P2 Receptor,"Ticagrelor is the first reversibly binding oral P2Y12 receptor antagonist, also inhibits CYP2C9 and 4-hydroxylation with IC50 of 10.5 μM and 8.2 μM respectively.",Neuronal Signaling
S4610,UCD-0000463,Mebendazole,L2000-04,D06,L2000-06,C10,295.29,31431-39-7,Antifection,"Mebendazole is a synthetic benzimidazole derivate and anthelmintic agent. Mebendazole interferes with the reproduction and survival of helminths by inhibiting the formation of their cytoplasmic microtubules, thereby selectively and irreversibly blocking glucose uptake.",Others
S4675,UCD-0159411,Tiagabine,L2000-04,D07,L2000-06,C11,375.55,115103-54-3,GABA Receptor,Tiagabine is an anti-convulsive medication and a selective gamma-aminobutyric acid (GABA) reuptake inhibitor.,Neuronal Signaling
S5002,UCD-0159417,Fingolimod (FTY720) HCl,L2000-04,D08,L2000-06,D02,343.90,162359-56-0,S1P Receptor,Fingolimod (FTY720) is a S1P antagonist with IC50 of 0.033 nM.,GPCR & G Protein
S7025,UCD-0159425,Embelin,L2000-04,D09,L2000-06,D03,294.39,550-24-3,IAP,"Embelin, a quinone isolated from the Japanese Ardisia herb, is an inhibitor of X-linked inhibitor of apoptosis (XIAP) with IC50 of 4.1 &mu;M.",Apoptosis
S7067,UCD-0159433,Tepotinib (EMD 1214063),L2000-04,D10,L2000-06,D04,492.57,1100598-32-0,c-Met,"Tepotinib (EMD 1214063) is a potent and selective <b>c-Met</b> inhibitor with <b>IC50</b> of 4 nM, >200-fold selective for c-Met than IRAK4, TrkA, Axl, IRAK1, and Mer. Phase 1.",Protein Tyrosine Kinase
S7097,UCD-0159438,HSP990 (NVP-HSP990),L2000-04,D11,L2000-06,D05,379.39,934343-74-5,HSP (e.g. HSP90),"NVP-HSP990 (HSP990) is a novel, potent and selective HSP90 inhibitor for HSP90α/β with IC50 of 0.6 nM/0.8 nM.",Cytoskeletal Signaling
S2911,UCD-0159394,Go 6983,L2000-04,E02,L2000-06,D06,442.51,133053-19-7,PKC,"Go 6983 is a pan-PKC inhibitor against for PKCα, PKCβ, PKCγ and PKCδ with IC50 of 7 nM, 7 nM, 6 nM and 10 nM, respectively; less potent to PKCζ and inactive to PKCμ.",TGF-beta/Smad
S3002,UCD-0018410,Rivaroxaban,L2000-04,E03,L2000-06,D07,435.88,366789-02-8,Factor Xa,"Rivaroxaban is a direct inhibitor of Factor Xa with Ki and IC50 of 0.4 nM and  0.7 nM, respectively.",Metabolism
S3151,UCD-0001653,Gliquidone,L2000-04,E04,L2000-06,D08,527.63,33342-05-1,Potassium Channel,Gliquidone is an ATP-sensitive K+ channel antagonist with IC50 of 27.2 nM.,Transmembrane Transporters
S4080,UCD-0000377,Triamterene,L2000-04,E05,L2000-06,D09,253.26,396-01-0,Sodium Channel,Triamterene blocks epithelial Na+ channel (ENaC) in a voltage-dependent manner with IC50 of 4.5 μM.,Transmembrane Transporters
S4618,UCD-0001002,Fenoldopam mesylate,L2000-04,E06,L2000-06,D10,401.86,67227-57-0,Dopamine Receptor,Fenoldopam is a selective dopamine-1 receptor (DA1) agonist with natriuretic/diuretic properties. It lowers blood pressure through arteriolar vasodilation.,Neuronal Signaling
S4679,UCD-0001657,Terazosin HCl ,L2000-04,E07,L2000-06,D11,423.89,63074-08-8,Adrenergic Receptor,Terazosin is a selective alpha-1 antagonist used for treatment of symptoms of an enlarged prostate (BPH). It works by blocking the action of adrenaline on smooth muscle of the bladder and the blood vessel walls.,GPCR & G Protein
DMSO,,DMSO,L2000-04,F01,L2000-06,E02,,,,,
S6003,UCD-0159418,Ataluren (PTC124),L2000-04,E08,L2000-06,E03,284.24,775304-57-9,CFTR,"PTC124 (Ataluren) selectively induces ribosomal read-through of premature but not normal termination codons, with EC50 of 0.1 μM, may provide treatment for genetic disorders caused by nonsense mutations (e.g. CF caused by CFTR nonsense mutation). Phase 3.",Transmembrane Transporters
S7029,UCD-0159426,AZD2461,L2000-04,E09,L2000-06,E04,395.43,1174043-16-3,PARP,AZD2461 is a novel PARP inhibitor with low affinity for Pgp than Olaparib. Phase 1.,DNA Damage
DMSO,,DMSO,L2000-04,G01,L2000-06,E05,,,,,
S7070,UCD-0001924,GSK J4 HCl,L2000-04,E10,L2000-06,E06,453.96,1373423-53-0(free base),Histone Demethylase,"GSK J4 HCl is a cell permeable prodrug of GSK J1, which is the first selective inhibitor of the H3K27 histone demethylase JMJD3 and UTX with IC50 of 60 nM and inactive against a panel of demethylases of the JMJ family.",Epigenetics
S7102,UCD-0159439,VE-822,L2000-04,E11,L2000-06,E07,463.55,1232416-25-9,ATM/ATR,VE-822 is an ATR inhibitor with IC50 of 19 nM.,PI3K/Akt/mTOR
DMSO,,DMSO,L2000-04,H01,L2000-06,E08,,,,,
S2912,UCD-0159395,WZ811,L2000-04,F02,L2000-06,E09,290.36,55778-02-4,CXCR,WZ811 is a highly potent competitive CXCR4 antagonist with EC50 of 0.3 nM.,GPCR & G Protein
S3021,UCD-0018456,Rimonabant,L2000-04,F03,L2000-06,E10,463.79,168273-06-1,Cannabinoid Receptor,Rimonabant is a selective antagonist of CB1 with IC50 of 13.6 nM and EC50 of 17.3 nM in hCB1 transfected HEK 293 membrane.,GPCR & G Protein
DMSO,,DMSO,L2000-04,A12,L2000-06,E11,,,,,
S3178,UCD-0159404,Brinzolamide,L2000-04,F04,L2000-06,F02,383.51,138890-62-7,Carbonic Anhydrase,Brinzolamide is a potent carbonic anhydrase II inhibitor with IC50 of 3.19 nM.,Metabolism
S4091,UCD-0011098,Ifenprodil Tartrate,L2000-04,F05,L2000-06,F03,475.53,23210-58-4,NMDAR,"Ifenprodil is an atypical noncompetitive antagonist at the NMDA receptor, it interacts with high affinity at a homogeneous population of NMDA receptors in neonatal rat forebrain with IC50 of 0.3 μM.",Neuronal Signaling
S4629,UCD-0011250,Chlorotrianisene,L2000-04,F06,L2000-06,F04,380.86,569-57-3,Estrogen/progestogen Receptor,"Chlorotrianisene is a synthetic, non-steroidal estrogen. It is a selective estrogen receptor modulator.",Endocrinology & Hormones
